Date,SPY,AAPL,MSFT,GOOGL,BABA
2022-01-03,451.87518310546875,178.10366821289062,323.89837646484375,143.90420532226562,114.32428741455078
2022-01-04,451.7237854003906,175.84326171875,318.3445129394531,143.316650390625,113.5455322265625
2022-01-05,443.0498046875,171.1658172607422,306.1239013671875,136.7418212890625,115.06504821777344
2022-01-06,442.6335144042969,168.30848693847656,303.70489501953125,136.71450805664062,120.25988006591797
2022-01-07,440.8835754394531,168.47483825683594,303.85980224609375,135.98951721191406,123.2799072265625
2022-01-10,440.3349304199219,168.49441528320312,304.0823974609375,137.62960815429688,121.84587860107422
2022-01-11,444.34564208984375,171.32240295410156,304.7692565917969,138.6881103515625,125.54019927978516
2022-01-12,445.5469970703125,171.7627410888672,307.9526062011719,140.36990356445312,130.49758911132812
2022-01-13,439.40789794921875,168.49441528320312,294.9192199707031,137.54774475097656,124.76143646240234
2022-01-14,439.5876159667969,169.3555450439453,300.14422607421875,138.4345245361328,124.95138549804688
2022-01-18,431.8027648925781,166.1557159423828,292.8389587402344,134.97813415527344,122.13078308105469
2022-01-19,427.3190612792969,162.66232299804688,293.4969482421875,134.103271484375,121.31404113769531
2022-01-20,422.5895080566406,160.97923278808594,291.8230285644531,132.30780029296875,124.43854522705078
2022-01-21,414.2937927246094,158.92434692382812,286.4335632324219,129.37399291992188,117.03092193603516
2022-01-24,416.05316162109375,158.15130615234375,286.7625427246094,129.8230743408203,114.31478881835938
2022-01-25,410.9736022949219,156.35073852539062,279.1379699707031,125.98310089111328,113.14665985107422
2022-01-26,409.9425964355469,156.2626953125,287.0915222167969,128.26388549804688,107.66692352294922
2022-01-27,407.91827392578125,155.80279541015625,290.1200256347656,128.03756713867188,106.16639709472656
2022-01-28,418.049072265625,166.67434692382812,298.26715087890625,132.3509979248047,109.43335723876953
2022-01-31,425.5786437988281,171.02883911132812,300.8989562988281,134.28884887695312,119.46214294433594
2022-02-01,428.4542236328125,170.8625030517578,298.75091552734375,136.61180114746094,120.82020568847656
2022-02-02,432.6162414550781,172.0660858154297,303.29852294921875,146.89013671875,116.69851684570312
2022-02-03,422.4476623535156,169.18919372558594,291.4844055175781,142.01695251464844,117.25884246826172
2022-02-04,424.43402099609375,168.90505981445312,296.0223388671875,142.21844482421875,116.07173156738281
2022-02-07,423.0718994140625,168.1898193359375,291.194091796875,138.15711975097656,109.04398345947266
2022-02-08,426.55291748046875,171.2957305908203,294.6871032714844,138.35362243652344,115.767822265625
2022-02-09,432.7959899902344,172.71640014648438,301.1214294433594,140.53018188476562,120.13642120361328
2022-02-10,425.0205383300781,168.64048767089844,292.5777282714844,137.58047485351562,117.74319458007812
2022-02-11,416.6396789550781,165.23086547851562,285.4757080078125,133.2755126953125,116.10021209716797
2022-02-14,415.2775573730469,165.46600341796875,285.43695068359375,134.50967407226562,115.78681182861328
2022-02-15,421.9746398925781,169.2969970703125,290.72967529296875,135.5840606689453,119.88949584960938
2022-02-16,422.4476623535156,169.0618133544922,290.3902893066406,136.70510864257812,119.24370574951172
2022-02-17,413.42352294921875,165.46600341796875,281.88702392578125,131.5450897216797,118.17054748535156
2022-02-18,410.7466735839844,163.91796875,279.1722412109375,129.42510986328125,113.00420379638672
2022-02-22,406.33856201171875,160.9982147216797,278.968505859375,128.84002685546875,107.24906158447266
2022-02-23,399.1307067871094,156.8341522216797,271.7452087402344,126.6312026977539,104.2005386352539
2022-02-24,405.1372985839844,159.45013427734375,285.629638671875,131.69595336914062,103.45027923583984
2022-02-25,414.07623291015625,161.5175018310547,288.266845703125,133.45120239257812,102.51007843017578
2022-02-28,413.0167236328125,161.78201293945312,289.7018737792969,134.04420471191406,99.89842224121094
2022-03-01,406.72650146484375,159.9008331298828,285.97869873046875,133.05616760253906,101.70283508300781
2022-03-02,414.2086486816406,163.1929168701172,291.0592956542969,133.56234741210938,100.1168441772461
2022-03-03,412.14654541015625,162.86956787109375,286.919189453125,132.8953857421875,96.91637420654297
2022-03-04,408.7979431152344,159.8714141845703,281.0434875488281,130.9173126220703,95.53932189941406
2022-03-07,396.74700927734375,156.0797119140625,270.4265441894531,125.4307861328125,93.69691467285156
2022-03-08,393.7389221191406,154.25726318359375,267.4595947265625,126.15133666992188,92.59526824951172
2022-03-09,404.29541015625,159.65586853027344,279.7248229980469,132.4194793701172,95.85272216796875
2022-03-10,402.4698181152344,155.31544494628906,276.9034118652344,131.43643188476562,88.24565887451172
2022-03-11,397.3523864746094,151.60205078125,271.5513000488281,128.89659118652344,82.34805297851562
2022-03-14,394.4483642578125,147.5751190185547,268.03167724609375,125.00648498535156,73.84828186035156
2022-03-15,403.12249755859375,151.95480346679688,278.41595458984375,128.22914123535156,72.89859008789062
2022-03-16,412.0614318847656,156.36380004882812,285.43572998046875,132.28102111816406,99.69898986816406
2022-03-17,417.2167053222656,157.3729705810547,286.2404479980469,132.8353271484375,95.32089233398438
2022-03-18,421.78631591796875,160.6650390625,291.2919616699219,135.1046905517578,102.85197448730469
2022-03-21,421.6630554199219,162.0367431640625,290.06060791015625,135.0808563232422,98.37890625
2022-03-22,426.5970458984375,165.4072265625,294.81158447265625,138.81912231445312,109.20542907714844
2022-03-23,421.1031799316406,166.76913452148438,290.380615234375,137.23854064941406,111.34223937988281
2022-03-24,427.4510498046875,170.55111694335938,294.85040283203125,140.51034545898438,109.35737609863281
2022-03-25,429.5385437011719,171.18795776367188,294.4431457519531,140.61058044433594,107.30603790283203
2022-03-28,432.5938720703125,172.05015563964844,301.24969482421875,140.39474487304688,109.3003921508789
2022-03-29,437.9454345703125,175.3422393798828,305.81634521484375,141.4368438720703,110.83890533447266
2022-03-30,435.2411804199219,174.17630004882812,304.3134460449219,140.8740997314453,110.71544647216797
2022-03-31,428.54229736328125,171.08016967773438,298.9323425292969,138.02462768554688,103.32682800292969
2022-04-01,429.75677490234375,170.78627014160156,300.0085754394531,139.09951782226562,104.65638732910156
2022-04-04,433.4383239746094,174.83274841308594,305.3897705078125,141.89935302734375,111.58917236328125
2022-04-05,427.96343994140625,171.52110290527344,301.42413330078125,139.5366973876953,105.41614532470703
2022-04-06,423.68408203125,168.35638427734375,290.3902893066406,135.52401733398438,102.2631607055664
2022-04-07,425.8189697265625,168.66009521484375,292.2034606933594,134.86949157714844,99.02470397949219
2022-04-08,424.6803894042969,166.6515350341797,287.9372863769531,132.28797912597656,98.3219223022461
2022-04-11,417.421630859375,162.39927673339844,276.5834045410156,127.85742950439453,96.4415283203125
2022-04-12,415.875,164.27064514160156,273.480712890625,126.75675964355469,94.7320785522461
2022-04-13,420.6382751464844,166.9552764892578,278.87164306640625,128.91990661621094,94.99799346923828
2022-04-14,415.4006042480469,161.94854736328125,271.318603515625,125.77964782714844,90.68637084960938
2022-04-18,415.5714111328125,161.73304748535156,271.9875793457031,126.71904754638672,89.94561004638672
2022-04-19,422.27972412109375,164.0159149169922,276.62225341796875,129.0340576171875,88.79647827148438
2022-04-20,421.9666442871094,163.84934997558594,277.64996337890625,127.07981872558594,84.9122314453125
2022-04-21,415.6567687988281,163.0557403564453,272.268798828125,123.87850189208984,81.66426849365234
2022-04-22,404.25140380859375,158.5193328857422,265.6948547363281,118.73834228515625,82.13911437988281
2022-04-25,406.5951843261719,159.5872802734375,272.1815490722656,122.15105438232422,81.52181243896484
2022-04-26,394.81976318359375,153.63021850585938,262.00091552734375,117.76024627685547,79.76488494873047
2022-04-27,395.929931640625,153.4048614501953,274.6054992675781,113.4374008178711,83.87705993652344
2022-04-28,405.9309387207031,160.3319549560547,280.8205261230469,117.63369750976562,86.33677673339844
2022-04-29,390.9295349121094,154.4630126953125,269.078857421875,113.25377655029297,92.20588684082031
2022-05-02,393.28271484375,154.76675415039062,275.8173522949219,115.708740234375,96.1186294555664
2022-05-03,395.0854797363281,156.25604248046875,273.2092590332031,116.4541015625,95.33038330078125
2022-05-04,407.11700439453125,162.66383361816406,281.1598815917969,121.34415435791016,96.3085708618164
2022-05-05,392.6469421386719,153.60079956054688,268.9140319824219,115.63182067871094,89.87914276123047
2022-05-06,390.30322265625,154.32693481445312,266.3736877441406,114.8785171508789,85.52003479003906
2022-05-09,377.8068542480469,149.20492553710938,256.53240966796875,111.66727447509766,80.57211303710938
2022-05-10,378.6796875,151.60891723632812,261.30279541015625,113.53713989257812,80.31570434570312
2022-05-11,372.66400146484375,143.74932861328125,252.625,112.75059509277344,77.61856842041016
2022-05-12,372.2749328613281,139.88328552246094,247.58316040039062,111.9977798461914,77.0107650756836
2022-05-13,381.17529296875,144.34786987304688,253.17764282226562,115.18022155761719,83.56365966796875
2022-05-16,379.6285705566406,142.80735778808594,253.54612731933594,113.58676147460938,82.12962341308594
